Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. ,Desired Height (in),Favorite Sport,Procastinator,Men or Women inspiration,Masculinity
1/9/2019 14:26,Tiesto,6’,Seattle,Einstein,Alps,5,casserole,Table tennis,hors d'oeuvre,6,Less,1400’s,The only true wisdom is in knowing you know nothing. ,70,Misc,0,2,5
1/9/2019 14:31,,5'6,"Sydney, Australia ",Meryl Streep ,Bora Bora,5,no opinion,,hors d'oeuvre,3,More,3000,It does not matter how slowly you go as long as you do not stop,66,Misc,0,0,3
1/9/2019 14:31,Toby Keith,5'8,"San Antonio, Texas",Great Grandma,Hawaii,5,pizza,Volleyball,hors d'oeuvre,3,Less,1900,"""Just do it""",68,Misc,0,1,2
1/9/2019 14:34,Dan + Shay,"6'2""","Boston, MA",Elon Musk,Amalfi Coast- Italy,3,pizza,Baseball,hors d'oeuvre,4,Less,2000,Do or do not. There is no try. ,72,Baseball,0,2,8
1/9/2019 14:35,Beyoncé ,165cm,Tokyo,Hillary Clinton ,London,3,pizza,,hors d'oeuvre,2,Less,1945,Hard work beats talent when talent doesn’t work hard.,65,Misc,0,0,0
1/9/2019 14:43,Keri Hilson,5'4,"Paris, France",Andy Warhol ,"Barcelona, Spain ",5,pizza,Competitive Cheerleading ,hors d'oeuvre,4,More,2050 to see if we still exist or if the world is too hot to live in yet... ,“Leave it better than you found it.” –Bruce A. Nordstrom,64,Misc,0,1,6
1/9/2019 14:56,My Chemical Romance,"5'2""",Toronto,Rivers Cuomo,Japan,4,pizza,eSports,hors d'oeuvre,2,Less,6298,"""Hope is the thing with feathers that perches in the soul - and sings the tunes without the words - and never stops at all."" - Emily Dickinson",62,Misc,0,2,7
1/9/2019 15:10,Drake,6 feet,San Francisco ,Jesus Christ,Hawaii,5,pizza,Football,hors d'oeuvre,6,Less,1985,"All our dreams can come true, if we have the courage to pursue them. – Walt Disney",72,Football,0,2,7
1/9/2019 15:10,Hunter Hayes,5 feet 2 inches,New York City,my grandma,Bali,4,pizza,baseball,hors d'oeuvre,3,More,1955,"""It's kind of fun to do the impossible."" (Walt Disney)",62,Baseball,0,1,4
1/9/2019 15:10,The Eagles,"6'2""",San Fransisco ,Dwyane Wade,New Zealand,5,pizza,Basketball,hors d'oeuvre,5,Less,2776,"“You don't become a runner by winning a morning workout. The only true way is to marshal the ferocity of your ambition over the course of many day, weeks, months, and (if you could finally come to accept it) years. The Trial of Miles; Miles of Trials.”",74,Basketball,0,1,8
